epoch,g_loss,d_loss
805,5.147350,0.358117
806,5.142775,0.351612
807,4.990480,0.365977
808,5.021707,0.362639
809,5.128016,0.369550
810,4.866475,0.365743
811,4.893756,0.391446
812,4.971769,0.364235
813,4.998652,0.360709
814,4.989973,0.364026
815,4.999321,0.355175
816,5.056022,0.353311
817,4.678143,0.366698
818,4.868026,0.374360
819,4.772023,0.388978
820,4.935794,0.415267
821,4.920927,0.381308
822,4.747509,0.374675
823,4.831450,0.385580
824,4.902049,0.367258
825,4.908857,0.372185
826,4.565811,0.414364
827,4.835336,0.375010
828,4.909794,0.365365
829,4.907281,0.357120
830,5.130537,0.364615
831,5.056883,0.362357
832,5.012666,0.363725
833,4.920373,0.365938
834,4.968581,0.364115
835,5.104787,0.367185
836,5.129515,0.364674
837,4.944813,0.367186
838,5.102854,0.355489
839,5.098809,0.355767
840,4.832160,0.371398
841,5.031457,0.365248
842,5.086654,0.359674
843,4.973291,0.354359
844,4.966265,0.352182
845,5.162408,0.350392
846,5.182911,0.348551
847,5.112134,0.347652
848,4.782759,0.364262
849,5.327274,0.352645
850,5.126161,0.351725
851,5.127832,0.353451
852,4.403287,1.606425
853,2.710054,0.852042
854,3.543740,0.679005
855,3.831079,0.597373
856,4.022547,0.551331
857,4.276868,0.464518
858,4.139852,0.451289
859,4.482194,0.461841
860,4.182384,0.432910
861,4.410115,0.405789
862,4.256544,0.421156
863,4.325548,0.409449
864,4.470696,0.383899
865,4.501774,0.404127
866,4.651388,0.415102
867,4.735057,0.381860
868,4.612762,0.385389
869,4.627675,0.384592
870,4.814118,0.374331
871,4.836143,0.380211
872,4.797527,0.378848
873,5.091711,0.362752
874,5.289071,0.364344
875,4.929659,0.361565
876,4.697855,0.381317
877,4.907082,0.361817
878,4.985044,0.355631
879,5.158331,0.357888
880,5.455500,0.353273
881,5.416142,0.358480
882,5.523670,0.349733
883,5.565398,0.345490
884,5.375562,0.351122
885,5.380095,0.356767
886,5.696170,0.363693
887,5.260530,0.346077
888,5.047583,0.376779
889,4.804188,0.354122
890,5.102157,0.353946
891,4.974085,0.354746
892,5.082958,0.356850
893,5.161399,0.353404
894,5.153778,0.361005
895,5.254910,0.351188
896,5.282989,0.351291
897,5.273100,0.358567
898,5.124684,0.349366
899,5.045624,0.350581
900,5.304979,0.348862
901,5.377394,0.356448
902,5.182913,0.360746
903,5.500720,0.355577
904,5.336168,0.347588
905,5.901536,0.379710
906,5.347775,0.357074
907,5.245956,0.352482
908,5.380090,0.355387
909,5.252521,0.351991
910,5.068684,0.352506
911,5.195258,0.356141
912,5.379289,0.353119
913,5.373006,0.352342
914,5.383882,0.345082
915,5.181509,0.346280
916,5.310825,0.346404
917,5.249344,0.353104
918,5.154949,0.359948
919,5.303540,0.351193
920,5.381851,0.350617
921,5.333246,0.350720
922,5.258205,0.355954
923,5.261548,0.351885
924,5.200895,0.354232
925,5.250622,0.357398
926,5.108184,0.365352
927,5.266558,0.354502
928,5.338877,0.350186
929,5.420904,0.356803
930,5.370542,0.350026
931,5.263251,0.347498
932,5.449208,0.348017
933,5.381081,0.345254
934,5.407740,0.348084
935,5.234667,0.352863
936,5.282665,0.348369
937,5.087984,0.368076
938,5.245038,0.354903
939,5.481780,0.349222
940,5.313821,0.344588
941,5.275695,0.364709
942,5.339862,0.360922
943,5.180694,0.351641
944,5.524379,0.350496
945,5.325513,0.346288
946,5.441195,0.346972
947,5.479875,0.360204
948,5.352982,0.351952
949,5.529565,0.351428
950,5.707882,0.346230
951,5.509000,0.349433
952,5.503720,0.346701
953,5.352616,0.346279
954,5.369957,0.345379
955,5.689446,0.348959
956,5.752716,0.345649
957,5.302307,0.345320
958,5.296637,0.348924
959,5.511022,0.526523
960,4.931461,0.395482
961,4.986439,0.382191
962,5.148185,0.379030
963,5.008815,0.360301
964,5.112231,0.359617
965,5.294694,0.358610
966,5.105994,0.360333
967,5.254380,0.356554
968,5.438830,0.348695
969,5.282524,0.352346
970,5.449408,0.347099
971,5.340065,0.348793
972,5.354981,0.349373
